frame	timestamp	confidence	success	pose_Rx	pose_Ry	pose_Rz	AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	stage
2443	97.68	0.98	1	-0.376	-0.056	-0.033	0.02	0.21	0	0	0	0	0	0	0	0.05	0	0.16	0.1	0	0.77	0.23	0.46	training
2444	97.72	0.98	1	-0.377	-0.053	-0.035	0.02	0.18	0	0	0	0	0	0	0	0.03	0	0.13	0.16	0	0.75	0.23	0.43	training
2445	97.76	0.98	1	-0.378	-0.053	-0.035	0.02	0.19	0	0	0	0	0	0	0	0	0	0.14	0.16	0	0.82	0.25	0.37	training
2446	97.8	0.98	1	-0.378	-0.049	-0.035	0	0.17	0	0	0	0	0	0	0	0	0	0.16	0.08	0	0.86	0.27	0.33	training
2447	97.84	0.98	1	-0.379	-0.049	-0.036	0	0.17	0	0	0	0	0	0	0	0	0	0.24	0	0	0.91	0.32	0.25	training
2448	97.88	0.98	1	-0.38	-0.049	-0.036	0.04	0.2	0	0.02	0	0	0	0	0	0.02	0	0.28	0	0	0.83	0.24	0.16	training
2449	97.92	0.98	1	-0.382	-0.056	-0.038	0.08	0.22	0	0.06	0	0	0	0	0	0.04	0	0.32	0.03	0	0.77	0.19	0.06	training
2450	97.96	0.98	1	-0.382	-0.056	-0.038	0.14	0.3	0	0.08	0	0	0	0	0	0.09	0	0.38	0.03	0	0.79	0.23	0.02	training
2451	98	0.98	1	-0.386	-0.055	-0.042	0.15	0.36	0	0.08	0	0	0	0	0	0.09	0	0.47	0.03	0	0.83	0.32	0.07	training
2452	98.04	0.98	1	-0.386	-0.054	-0.042	0.17	0.45	0	0.08	0	0	0	0	0	0.09	0	0.55	0	0	0.87	0.43	0.13	training
2453	98.08	0.98	1	-0.386	-0.054	-0.042	0.15	0.33	0	0.12	0	0	0	0	0	0.05	0	0.51	0.03	0	0.9	0.45	0.15	training
2454	98.12	0.98	1	-0.385	-0.055	-0.044	0.18	0.18	0	0.17	0	0	0	0	0	0.09	0	0.41	0.1	0	0.95	0.47	0.1	training
2455	98.16	0.98	1	-0.387	-0.054	-0.044	0.13	0.02	0	0.2	0	0	0	0	0	0.07	0	0.3	0.1	0	0.86	0.51	0.13	training
2456	98.2	0.98	1	-0.384	-0.052	-0.042	0.1	0.02	0	0.19	0	0	0	0	0	0.06	0	0.28	0.06	0	0.69	0.5	0.18	training
2457	98.24	0.98	1	-0.384	-0.051	-0.042	0.04	0	0	0.16	0.02	0	0	0	0	0.01	0	0.3	0	0	0.54	0.53	0.26	training
2458	98.28	0.98	1	-0.384	-0.052	-0.042	0.03	0	0	0.18	0.01	0	0	0	0	0.01	0	0.24	0	0	0.59	0.52	0.18	training
2459	98.32	0.98	1	-0.385	-0.051	-0.04	0.02	0.01	0	0.19	0.01	0	0	0	0	0	0	0.19	0	0	0.71	0.54	0.1	training
2460	98.36	0.98	1	-0.384	-0.051	-0.04	0	0.23	0	0.15	0.1	0	0	0	0	0.13	0	0.18	0.01	0	0.81	0.53	0.66	training
2461	98.4	0.98	1	-0.38	-0.053	-0.039	0	0.37	0	0.07	0.2	0	0	0	0	0.25	0	0.19	0.01	0	0.83	0.56	1.27	training
2462	98.44	0.98	1	-0.38	-0.053	-0.039	0	0.52	0	0	0.3	0	0	0	0	0.36	0	0.19	0.02	0	0.84	0.57	1.9	training
2463	98.48	0.98	1	-0.38	-0.053	-0.039	0	0.36	0	0	0.28	0	0.02	0	0	0.28	0	0.09	0	0	0.76	0.59	1.6	training
2464	98.52	0.98	1	-0.383	-0.051	-0.034	0	0.32	0	0	0.25	0	0.02	0	0	0.21	0	0.05	0.03	0	0.74	0.57	1.33	training
2465	98.56	0.98	1	-0.383	-0.052	-0.033	0	0.29	0	0	0.22	0	0.02	0	0	0.16	0	0	0.03	0	0.7	0.53	1.08	training
2466	98.6	0.98	1	-0.383	-0.052	-0.033	0	0.21	0	0	0.17	0	0	0	0	0.11	0	0	0.03	0	0.79	0.63	1.02	training
2467	98.64	0.98	1	-0.387	-0.053	-0.036	0	0.12	0	0	0.12	0	0	0	0	0.06	0	0	0.01	0	0.82	0.72	1	training
2468	98.68	0.98	1	-0.387	-0.052	-0.036	0	0.05	0	0	0.04	0	0	0	0	0.02	0	0	0	0	0.76	0.69	0.9	training
2469	98.72	0.98	1	-0.388	-0.054	-0.037	0	0.09	0	0	0.02	0	0	0	0	0.07	0	0	0.05	0	0.67	0.49	0.86	training
2470	98.76	0.98	1	-0.388	-0.054	-0.038	0	0.12	0	0	0	0	0	0	0	0.14	0	0	0.11	0	0.54	0.32	0.79	training
2471	98.8	0.98	1	-0.388	-0.053	-0.038	0	0.07	0	0.01	0	0	0	0	0	0.2	0	0	0.11	0	0.59	0.4	0.63	training
2472	98.84	0.98	1	-0.386	-0.054	-0.037	0	0.03	0	0.01	0	0	0	0	0	0.15	0	0.04	0.06	0	0.63	0.42	0.49	training
2473	98.88	0.98	1	-0.383	-0.054	-0.037	0	0.02	0	0.01	0	0	0	0	0	0.07	0	0.04	0	0	0.7	0.52	0.32	training
2474	98.92	0.98	1	-0.388	-0.055	-0.038	0	0.04	0	0	0	0	0	0	0	0	0	0.04	0	0	0.67	0.48	0.31	training
2475	98.96	0.98	1	-0.389	-0.056	-0.038	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0.57	0.29	training
2476	99	0.98	1	-0.389	-0.056	-0.038	0	0.2	0	0.04	0	0	0	0	0	0	0	0	0	0	0.7	0.42	0.33	training
2477	99.04	0.98	1	-0.384	-0.052	-0.038	0	0.3	0	0.1	0	0	0	0	0	0	0	0	0	0	0.76	0.29	0.38	training
2478	99.08	0.98	1	-0.384	-0.052	-0.038	0.01	0.24	0	0.1	0	0	0	0	0	0	0	0	0	0	0.83	0.25	0.39	training
2479	99.12	0.98	1	-0.382	-0.054	-0.039	0.01	0.12	0	0.06	0	0	0	0	0	0	0	0	0	0	0.84	0.36	0.38	training
2480	99.16	0.98	1	-0.382	-0.054	-0.039	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0.43	0.3	training
2481	99.2	0.98	1	-0.381	-0.054	-0.039	0.01	0	0	0.11	0	0	0	0	0	0	0	0.06	0	0	0.82	0.44	0.33	training
2482	99.24	0.98	1	-0.374	-0.049	-0.043	0.04	0.06	0	0.23	0	0	0	0	0	0	0	0.11	0	0	0.84	0.43	0.37	training
2483	99.28	0.98	1	-0.377	-0.048	-0.043	0.04	0.06	0	0.32	0	0	0	0	0	0	0	0.14	0	0	0.88	0.35	0.4	training
2484	99.32	0.98	1	-0.374	-0.05	-0.042	0.03	0.05	0	0.23	0	0.03	0	0	0	0	0	0.22	0	0	0.81	0.38	0.39	training
2485	99.36	0.98	1	-0.372	-0.047	-0.042	0	0	0	0.18	0	0.06	0	0	0	0	0	0.3	0	0	0.74	0.43	0.29	training
2486	99.4	0.98	1	-0.371	-0.048	-0.042	0	0	0	0.13	0	0.1	0	0	0	0	0	0.26	0	0	0.67	0.47	0.24	training
2487	99.44	0.98	1	-0.381	-0.048	-0.044	0	0	0	0.14	0	0.08	0	0	0	0	0	0.13	0	0	0.71	0.42	0.13	training
2488	99.48	0.98	1	-0.381	-0.048	-0.044	0	0	0	0.12	0	0.06	0	0	0	0	0	0.09	0	0	0.81	0.3	0.08	training
2489	99.52	0.98	1	-0.376	-0.048	-0.043	0	0	0	0.09	0	0.01	0	0	0	0	0	0.14	0	0	0.86	0.29	0.03	training
2490	99.56	0.98	1	-0.377	-0.048	-0.043	0	0	0	0.09	0	0	0	0	0	0	0	0.19	0	0	0.91	0.2	0.02	training
2491	99.6	0.98	1	-0.376	-0.048	-0.043	0	0.05	0	0.08	0	0	0	0	0	0.03	0	0.15	0	0	0.85	0.23	0.04	training
2492	99.64	0.98	1	-0.384	-0.048	-0.041	0	0.07	0	0.07	0	0	0	0	0	0.03	0	0.12	0	0	0.9	0.37	0.04	training
2493	99.68	0.98	1	-0.383	-0.048	-0.04	0	0.07	0	0.04	0	0	0	0	0	0.03	0	0.08	0	0	0.88	0.56	0.04	training
2494	99.72	0.98	1	-0.385	-0.055	-0.04	0.01	0.09	0	0.01	0	0	0	0	0	0	0	0.02	0.03	0	0.93	0.65	0.01	training
2495	99.76	0.98	1	-0.384	-0.055	-0.04	0.01	0.14	0	0	0	0	0	0	0	0	0	0.01	0.05	0	0.88	0.64	0.02	training
2496	99.8	0.98	1	-0.384	-0.055	-0.04	0.02	0.18	0	0.11	0	0	0	0	0	0	0	0.04	0.05	0	0.81	0.55	0.09	training
2497	99.84	0.98	1	-0.382	-0.046	-0.04	0.06	0.13	0	0.17	0	0	0	0	0	0	0	0.1	0.02	0	0.76	0.53	0.15	training
2498	99.88	0.98	1	-0.382	-0.047	-0.04	0.06	0.06	0	0.24	0	0	0	0	0	0	0	0.14	0.03	0	0.67	0.47	0.14	training
2499	99.92	0.98	1	-0.382	-0.053	-0.039	0.04	0.02	0	0.23	0	0	0	0	0	0	0	0.14	0.03	0	0.63	0.44	0.06	training
2500	99.96	0.98	1	-0.382	-0.053	-0.038	0	0	0	0.26	0	0	0	0	0	0	0	0.08	0.03	0	0.56	0.42	0.02	training
2501	100	0.98	1	-0.381	-0.053	-0.038	0	0.02	0	0.19	0	0	0	0	0	0	0	0.04	0.13	0	0.52	0.34	0.13	training
2502	100.04	0.98	1	-0.378	-0.049	-0.039	0	0.06	0	0.08	0	0	0	0	0	0	0	0	0.3	0	0.51	0.28	0.23	training
2503	100.08	0.98	1	-0.378	-0.048	-0.04	0	0.06	0	0.01	0	0	0	0	0	0	0	0.03	0.3	0	0.41	0.23	0.35	training
2504	100.12	0.98	1	-0.381	-0.049	-0.04	0.01	0.07	0	0.01	0	0	0	0	0	0	0	0.05	0.17	0	0.35	0.28	0.35	training
2505	100.16	0.98	1	-0.381	-0.049	-0.04	0.01	0.06	0	0.02	0	0	0	0	0	0	0	0.1	0.03	0	0.27	0.31	0.39	training
2506	100.2	0.98	1	-0.382	-0.05	-0.04	0.01	0.06	0	0.01	0	0	0	0	0	0	0	0.09	0.07	0	0.25	0.31	0.36	training
2507	100.24	0.98	1	-0.381	-0.05	-0.04	0.01	0.03	0	0.01	0	0.03	0	0	0	0.04	0	0.13	0.06	0	0.3	0.3	0.38	training
2508	100.28	0.98	1	-0.377	-0.052	-0.039	0.01	0.01	0	0.02	0	0.06	0	0	0	0.04	0	0.11	0.1	0	0.38	0.29	0.32	training
2509	100.32	0.98	1	-0.379	-0.049	-0.038	0.02	0.03	0	0.03	0	0.06	0	0	0	0.04	0	0.09	0.17	0	0.46	0.3	0.3	training
2510	100.36	0.98	1	-0.38	-0.049	-0.038	0.02	0.05	0	0.05	0	0.04	0	0	0	0	0	0.03	0.26	0	0.49	0.31	0.25	training
2511	100.4	0.98	1	-0.38	-0.049	-0.038	0.04	0.13	0	0.08	0	0.07	0	0	0	0	0	0.13	0.2	0	0.46	0.31	0.23	training
2512	100.44	0.98	1	-0.383	-0.05	-0.039	0.05	0.16	0	0.08	0	0.09	0	0	0	0	0	0.26	0.1	0	0.45	0.28	0.23	training
2513	100.48	0.98	1	-0.382	-0.05	-0.039	0.09	0.2	0	0.12	0	0.08	0	0	0	0	0	0.32	0	0	0.44	0.3	0.2	training
2514	100.52	0.98	1	-0.382	-0.052	-0.041	0.14	0.19	0	0.11	0	0.03	0	0	0	0	0	0.21	0	0	0.44	0.39	0.2	training
2515	100.56	0.98	1	-0.382	-0.052	-0.041	0.2	0.19	0	0.16	0	0	0	0	0	0	0	0.1	0	0	0.43	0.49	0.16	training
2516	100.6	0.98	1	-0.382	-0.052	-0.041	0.16	0.25	0	0.12	0	0	0	0	0	0.05	0	0.07	0	0	0.53	0.5	0.1	training
2517	100.64	0.98	1	-0.382	-0.053	-0.04	0.11	0.24	0	0.13	0	0	0	0	0	0.07	0	0.08	0	0	0.61	0.47	0.08	training
2518	100.68	0.98	1	-0.382	-0.053	-0.04	0.09	0.2	0	0.14	0	0.03	0	0	0	0.07	0	0.08	0	0	0.67	0.41	0.06	training
2519	100.72	0.98	1	-0.376	-0.051	-0.039	0.13	0.12	0	0.18	0	0.06	0	0	0	0.01	0	0.05	0	0	0.62	0.4	0.13	training
2520	100.76	0.98	1	-0.375	-0.052	-0.039	0.17	0.16	0	0.24	0	0.06	0	0	0	0	0	0.02	0.03	0	0.64	0.44	0.13	training
2521	100.8	0.98	1	-0.377	-0.051	-0.039	0.12	0.2	0	0.21	0	0.07	0	0	0	0	0	0.05	0.07	0	0.69	0.42	0.24	training
2522	100.84	0.98	1	-0.38	-0.049	-0.04	0.06	0.24	0	0.19	0	0.05	0	0	0	0	0	0.12	0.1	0	0.77	0.41	0.33	training
2523	100.88	0.98	1	-0.382	-0.049	-0.04	0	0.13	0	0.07	0	0.07	0	0	0	0	0	0.12	0.07	0	0.73	0.4	0.32	training
2524	100.92	0.98	1	-0.383	-0.049	-0.04	0	0.07	0	0.04	0	0.08	0	0	0	0	0	0.07	0.07	0	0.76	0.5	0.24	training
2525	100.96	0.98	1	-0.382	-0.051	-0.039	0	0	0	0.01	0	0.15	0	0	0	0	0	0	0.07	0	0.75	0.59	0.11	training
2526	101	0.98	1	-0.382	-0.051	-0.039	0	0	0	0.17	0	0.17	0	0	0	0	0	0.1	0.1	0	0.76	0.56	0.13	training
2527	101.04	0.98	1	-0.381	-0.054	-0.04	0.02	0	0	0.37	0	0.15	0	0	0	0	0	0.19	0.07	0	0.69	0.49	0.14	training
2528	101.08	0.98	1	-0.381	-0.053	-0.04	0.02	0	0	0.44	0	0.12	0	0	0	0	0	0.21	0.04	0	0.65	0.37	0.28	training
2529	101.12	0.98	1	-0.377	-0.051	-0.04	0.02	0	0	0.33	0	0.15	0	0	0	0	0	0.13	0.01	0	0.7	0.36	0.36	training
2530	101.16	0.98	1	-0.377	-0.051	-0.04	0	0.01	0	0.17	0	0.19	0	0	0	0	0	0.07	0	0	0.75	0.34	0.46	training
2531	101.2	0.98	1	-0.377	-0.051	-0.04	0	0.03	0	0.23	0	0.15	0	0	0	0	0	0.1	0.02	0	0.63	0.33	0.33	training
2532	101.24	0.98	1	-0.376	-0.051	-0.039	0.01	0.03	0	0.33	0	0.07	0	0	0	0.01	0	0.12	0.02	0	0.67	0.33	0.19	training
2533	101.28	0.98	1	-0.376	-0.055	-0.038	0.02	0.02	0	0.49	0	0	0	0	0	0.05	0	0.09	0.02	0	0.69	0.35	0.04	training
2534	101.32	0.98	1	-0.377	-0.051	-0.036	0.02	0.03	0	0.57	0	0	0	0	0	0.05	0	0.04	0	0	0.83	0.39	0	training
2535	101.36	0.98	1	-0.378	-0.052	-0.036	0.01	0.03	0	0.6	0	0	0	0	0	0.07	0	0	0	0	0.79	0.36	0	training
2536	101.4	0.98	1	-0.378	-0.051	-0.036	0	0.03	0	0.6	0	0.04	0	0	0	0.03	0	0.05	0	0	0.68	0.33	0.01	training
2537	101.44	0.98	1	-0.377	-0.051	-0.036	0.01	0.02	0	0.61	0	0.08	0	0	0	0.03	0	0.08	0	0	0.59	0.29	0.04	training
2538	101.48	0.98	1	-0.378	-0.051	-0.036	0.02	0.03	0	0.64	0	0.09	0	0	0	0	0	0.12	0	0	0.51	0.32	0.05	training
2539	101.52	0.98	1	-0.377	-0.051	-0.036	0.06	0.12	0	0.61	0.01	0.12	0	0	0	0	0	0.17	0	0	0.51	0.31	0.12	training
2540	101.56	0.98	1	-0.378	-0.049	-0.036	0.05	0.16	0	0.48	0.01	0.16	0	0	0	0	0	0.19	0	0	0.5	0.32	0.16	training
2541	101.6	0.98	1	-0.378	-0.049	-0.036	0.04	0.21	0	0.5	0.01	0.14	0	0	0	0	0	0.21	0.02	0	0.5	0.29	0.15	training
2542	101.64	0.98	1	-0.381	-0.05	-0.036	0	0.21	0	0.55	0	0.11	0	0	0	0	0	0.18	0.02	0	0.55	0.26	0.06	training
2543	101.68	0.98	1	-0.381	-0.05	-0.037	0	0.24	0	0.69	0	0.08	0	0	0	0	0	0.19	0.02	0	0.59	0.25	0	training
2544	101.72	0.98	1	-0.381	-0.05	-0.037	0	0.21	0	0.52	0	0.08	0	0	0	0	0	0.12	0.02	0	0.67	0.3	0	training
2545	101.76	0.98	1	-0.374	-0.054	-0.036	0	0.14	0	0.42	0	0.04	0	0	0	0	0	0.06	0.07	0	0.7	0.34	0	training
2546	101.8	0.98	1	-0.374	-0.054	-0.036	0	0.04	0	0.23	0	0	0	0	0	0	0	0	0.08	0	0.76	0.26	0.02	training
2547	101.84	0.98	1	-0.374	-0.052	-0.036	0	0.02	0	0.24	0	0	0	0	0	0	0	0	0.07	0	0.81	0.15	0.09	training
2548	101.88	0.98	1	-0.376	-0.051	-0.037	0	0	0	0.15	0	0	0	0	0	0	0	0	0.02	0	0.88	0.07	0.17	training
2549	101.92	0.98	1	-0.376	-0.052	-0.037	0	0.07	0	0.15	0	0.03	0	0	0	0	0	0.05	0	0	0.86	0.18	0.15	training
2550	101.96	0.98	1	-0.376	-0.046	-0.037	0	0.2	0	0.17	0	0.11	0	0	0	0	0	0.1	0	0	0.81	0.24	0.08	training
2551	102	0.98	1	-0.377	-0.046	-0.037	0	0.28	0	0.18	0	0.11	0	0	0	0	0	0.1	0	0	0.7	0.32	0	training
2552	102.04	0.98	1	-0.381	-0.048	-0.038	0	0.28	0	0.19	0	0.08	0	0	0	0	0	0.06	0	0	0.65	0.3	0	training
2553	102.08	0.98	1	-0.381	-0.048	-0.038	0	0.21	0	0.19	0	0	0	0	0	0.04	0	0.03	0	0	0.6	0.32	0	training
2554	102.12	0.98	1	-0.381	-0.048	-0.038	0	0.15	0	0.2	0	0	0	0	0	0.04	0	0.07	0.03	0	0.57	0.3	0.05	training
2555	102.16	0.98	1	-0.383	-0.047	-0.038	0	0.1	0	0.14	0	0	0	0	0	0.04	0	0.09	0.03	0	0.53	0.33	0.07	training
2556	102.2	0.98	1	-0.383	-0.048	-0.038	0	0.03	0	0.35	0	0	0	0	0	0.02	0	0.12	0.04	0	0.48	0.26	0.07	training
2557	102.24	0.98	1	-0.38	-0.049	-0.038	0	0.02	0	0.57	0	0	0	0	0	0.04	0	0.1	0.04	0	0.48	0.26	0.05	training
2558	102.28	0.98	1	-0.379	-0.05	-0.038	0	0	0	0.82	0	0	0	0	0	0.04	0	0.08	0.04	0	0.47	0.21	0.06	training
2559	102.32	0.98	1	-0.379	-0.049	-0.038	0	0	0	0.59	0	0	0	0	0	0.02	0	0.09	0.03	0	0.5	0.25	0.06	training
2560	102.36	0.98	1	-0.377	-0.051	-0.036	0	0.01	0	0.45	0	0	0	0	0	0	0	0.11	0.03	0	0.53	0.25	0.05	training
2561	102.4	0.98	1	-0.379	-0.05	-0.037	0	0.01	0	0.2	0	0	0	0	0	0	0	0.13	0.07	0	0.64	0.29	0.49	training
2562	102.44	0.98	1	-0.372	-0.052	-0.038	0	0.01	0	0.13	0	0	0	0	0	0	0	0.12	0.09	0	0.72	0.28	0.88	training
2563	102.48	0.98	1	-0.373	-0.052	-0.038	0	0	0	0	0	0	0	0	0	0	0	0.1	0.06	0	0.86	0.32	1.27	training
2564	102.52	0.98	1	-0.374	-0.051	-0.039	0	0.18	0	0	0.04	0	0.02	0	0	0	0	0.07	0.02	0	0.76	0.29	1.67	training
2565	102.56	0.98	1	-0.39	-0.051	-0.043	0	0.35	0	0	0.05	0	0.03	0	0	0	0	0.01	0	0	0.71	0.36	2.2	training
2566	102.6	0.98	1	-0.391	-0.051	-0.045	0	0.46	0	0	0.06	0	0.03	0	0	0	0	0.09	0	0	0.57	0.31	2.51	training
2567	102.64	0.98	1	-0.389	-0.048	-0.043	0	0.32	0	0	0.07	0	0.01	0	0	0	0	0.17	0.02	0	0.57	0.26	2.28	training
2568	102.68	0.98	1	-0.388	-0.049	-0.043	0	0.29	0	0	0.07	0	0.03	0	0	0.05	0	0.28	0.05	0	0.55	0.23	2.04	training
2569	102.72	0.98	1	-0.385	-0.049	-0.043	0	0.35	0	0	0.06	0	0.03	0	0	0.05	0	0.19	0.05	0	0.56	0.21	1.68	training
2570	102.76	0.98	1	-0.388	-0.049	-0.041	0	0.48	0	0	0.02	0	0.03	0	0	0.1	0	0.11	0.07	0	0.62	0.22	1.39	training
2571	102.8	0.98	1	-0.388	-0.049	-0.04	0	0.41	0	0	0	0	0	0	0	0.05	0	0	0.04	0	0.73	0.26	0.81	training
2572	102.84	0.98	1	-0.386	-0.048	-0.04	0	0.34	0	0	0	0	0	0	0	0.04	0	0.01	0.04	0	0.84	0.39	0.55	training
2573	102.88	0.98	1	-0.385	-0.047	-0.04	0	0.28	0	0	0	0	0	0	0	0	0	0.01	0	0	0.92	0.54	0.31	training
2574	102.92	0.98	1	-0.385	-0.047	-0.04	0	0.25	0	0	0	0	0	0	0	0	0	0.09	0	0	0.79	0.47	0.23	training
2575	102.96	0.98	1	-0.381	-0.047	-0.039	0	0.21	0	0	0	0	0	0	0	0	0	0.15	0	0	0.65	0.33	0.17	training
2576	103	0.98	1	-0.381	-0.047	-0.039	0	0.2	0	0.06	0	0	0	0	0	0	0	0.15	0	0	0.51	0.19	0.18	training
2577	103.04	0.98	1	-0.382	-0.048	-0.041	0	0.21	0	0.09	0	0	0	0	0	0.04	0	0.07	0	0	0.54	0.22	0.24	training
2578	103.08	0.98	1	-0.381	-0.05	-0.041	0	0.21	0	0.16	0	0	0	0	0	0.06	0	0	0	0	0.56	0.26	0.32	training
2579	103.12	0.98	1	-0.381	-0.05	-0.04	0.01	0.28	0	0.18	0	0	0	0.03	0	0.06	0	0.06	0	0	0.59	0.25	0.25	training
2580	103.16	0.98	1	-0.381	-0.051	-0.039	0.07	0.47	0	0.32	0	0	0	0.03	0	0.06	0	0.06	0.03	0	0.64	0.17	0.22	training
2581	103.2	0.98	1	-0.381	-0.054	-0.04	0.07	0.48	0	0.48	0	0.08	0	0.03	0	0.15	0	0.07	0.03	0	0.72	0.18	0.18	training
2582	103.24	0.98	1	-0.386	-0.05	-0.04	0.06	0.42	0	0.6	0	0.09	0	0	0	0.24	0	0.03	0.03	0	0.74	0.2	0.16	training
2583	103.28	0.98	1	-0.387	-0.05	-0.04	0.01	0.32	0	0.64	0	0.1	0	0	0	0.3	0	0.03	0	0	0.75	0.24	0.11	training
2584	103.32	0.98	1	-0.388	-0.05	-0.04	0.02	0.34	0	0.41	0	0.02	0	0	0	0.3	0	0.02	0	0	0.61	0.22	0.04	training
2585	103.36	0.98	1	-0.385	-0.05	-0.041	0.02	0.31	0	0.22	0	0.01	0	0	0	0.34	0	0	0	0	0.5	0.18	0.02	training
2586	103.4	0.98	1	-0.386	-0.05	-0.041	0.01	0.21	0	0.14	0	0	0	0	0	0.27	0	0	0.02	0	0.47	0.24	0.02	training
2587	103.44	0.98	1	-0.38	-0.049	-0.04	0.01	0.12	0	0.24	0	0	0	0	0	0.28	0	0	0.06	0	0.54	0.36	0.06	training
2588	103.48	0.98	1	-0.378	-0.049	-0.04	0	0.04	0	0.35	0	0	0	0	0	0.22	0	0	0.1	0	0.64	0.53	0.1	training
2589	103.52	0.98	1	-0.378	-0.049	-0.04	0.01	0	0	0.28	0	0	0	0	0	0.17	0	0	0.08	0	0.68	0.53	0.28	training
2590	103.56	0.98	1	-0.382	-0.053	-0.04	0.02	0	0	0.2	0	0	0	0	0	0.07	0	0.01	0.04	0	0.69	0.49	0.41	training
2591	103.6	0.98	1	-0.381	-0.052	-0.04	0.06	0.13	0	0.09	0	0	0	0	0	0.02	0	0.02	0	0	0.7	0.57	0.37	training
2592	103.64	0.98	1	-0.382	-0.052	-0.039	0.06	0.22	0	0.11	0	0	0	0	0	0.04	0	0.02	0	0	0.76	0.58	0.24	training
2593	103.68	0.98	1	-0.381	-0.053	-0.038	0.05	0.28	0	0.12	0	0	0	0	0	0.04	0	0.01	0	0	0.89	0.58	0.14	training
2594	103.72	0.98	1	-0.381	-0.053	-0.038	0.02	0.18	0	0.12	0	0	0	0	0	0.08	0	0.04	0	0	0.9	0.43	0.24	training
2595	103.76	0.98	1	-0.384	-0.053	-0.039	0	0.14	0	0.07	0	0	0	0	0	0.15	0	0.13	0.08	0	0.8	0.42	0.25	training
2596	103.8	0.98	1	-0.384	-0.052	-0.039	0	0.07	0	0.06	0	0	0	0	0	0.22	0	0.24	0.08	0	0.63	0.34	0.18	training
2597	103.84	0.98	1	-0.387	-0.05	-0.037	0	0.08	0	0.07	0	0	0	0	0	0.16	0	0.26	0.09	0	0.55	0.26	0.07	training
2598	103.88	0.98	1	-0.386	-0.051	-0.037	0.01	0.11	0	0.07	0	0	0	0	0	0.09	0	0.22	0.01	0	0.51	0.16	0	training
2599	103.92	0.98	1	-0.386	-0.051	-0.036	0.02	0.19	0	0.18	0	0	0	0	0	0.02	0	0.13	0.04	0	0.57	0.17	0.02	training
2600	103.96	0.98	1	-0.389	-0.05	-0.037	0.05	0.25	0	0.29	0	0	0	0	0	0.07	0	0.07	0.03	0	0.68	0.21	0.02	training
2601	104	0.98	1	-0.389	-0.051	-0.038	0.04	0.18	0	0.39	0	0	0	0	0	0.16	0	0.09	0.08	0	0.68	0.22	0.06	training
2602	104.04	0.98	1	-0.386	-0.048	-0.038	0.03	0.09	0	0.4	0	0	0	0	0	0.26	0	0.12	0.11	0	0.61	0.18	0.04	training
2603	104.08	0.98	1	-0.387	-0.049	-0.038	0	0	0	0.44	0	0	0	0	0	0.26	0	0.17	0.19	0	0.49	0.11	0.05	training
2604	104.12	0.98	1	-0.387	-0.049	-0.038	0	0	0	0.65	0	0	0	0	0	0.2	0	0.17	0.14	0	0.51	0.31	0.01	training
2605	104.16	0.98	1	-0.382	-0.053	-0.038	0	0	0	0.83	0	0	0	0	0	0.15	0	0.23	0.08	0	0.55	0.52	0.02	training
2606	104.2	0.98	1	-0.381	-0.053	-0.038	0	0	0	0.96	0	0	0	0	0	0.17	0	0.28	0	0	0.59	0.74	0.02	training
2607	104.24	0.98	1	-0.38	-0.053	-0.038	0.01	0	0	0.77	0	0	0	0	0	0.12	0	0.21	0	0	0.56	0.68	0.07	training
2608	104.28	0.98	1	-0.386	-0.052	-0.04	0.02	0	0	0.55	0	0	0	0	0	0.08	0	0.1	0	0	0.53	0.63	0.09	training
2609	104.32	0.98	1	-0.387	-0.052	-0.04	0.02	0	0	0.31	0	0	0	0	0	0	0	0	0.02	0	0.47	0.45	0.08	training
2610	104.36	0.98	1	-0.39	-0.051	-0.038	0.06	0	0	0.2	0	0.12	0	0	0	0	0	0	0.02	0	0.42	0.36	0.03	training
2611	104.4	0.98	1	-0.389	-0.052	-0.038	0.07	0	0	0.13	0	0.2	0	0	0	0	0	0	0.03	0	0.37	0.26	0.01	training
2612	104.44	0.98	1	-0.389	-0.052	-0.038	0.13	0	0	0.17	0	0.19	0	0	0	0	0	0	0.07	0	0.34	0.36	0.04	training
2613	104.48	0.98	1	-0.387	-0.053	-0.039	0.14	0	0	0.22	0	0.07	0	0	0	0	0	0	0.09	0	0.4	0.49	0.08	training
2614	104.52	0.98	1	-0.387	-0.053	-0.039	0.16	0	0	0.27	0	0	0	0.03	0	0	0	0.01	0.09	0	0.52	0.62	0.07	training
2615	104.56	0.98	1	-0.395	-0.052	-0.038	0.14	0	0	0.25	0	0	0	0.04	0	0	0	0.03	0.03	0	0.65	0.66	0.04	training
2616	104.6	0.98	1	-0.396	-0.052	-0.038	0.15	0.03	0	0.32	0	0	0	0.04	0	0	0	0.03	0	0	0.64	0.58	0.06	training
2617	104.64	0.98	1	-0.399	-0.048	-0.038	0.1	0.06	0	0.28	0	0	0	0.02	0	0	0	0.02	0.03	0	0.58	0.46	0.07	training
